candle_idx,timestamp,sweep_type,bias,swing_price,sweep_price,close_price,rsi,rsi_extreme,entry_price,exit_price,mfe_pct,mae_pct,net_move_pct,outcome,regime
34,2023-12-22 00:00:00+00:00,HIGH,BEARISH,44250.0,44280.15,44028.99,75.52610375145164,False,44028.99,43569.14,1.58,0.898,1.044,CORRECT,UNKNOWN
35,2023-12-22 04:00:00+00:00,HIGH,BEARISH,44324.86,44424.36,43600.18,67.71433124402427,False,43600.18,43781.51,0.612,1.126,-0.416,WRONG,UNKNOWN
41,2023-12-23 04:00:00+00:00,LOW,BULLISH,43361.44,43333.35,43598.77,48.52699475920239,False,43598.77,43710.0,0.887,0.377,0.255,CORRECT,UNKNOWN
46,2023-12-24 00:00:00+00:00,HIGH,BEARISH,43894.7,43935.62,43860.91,55.837068305850224,False,43860.91,43188.37,2.842,0.284,1.533,CORRECT,UNKNOWN
55,2023-12-25 12:00:00+00:00,LOW,BULLISH,43412.82,43106.54,43625.11,50.642050662038656,False,43625.11,42515.53,0.265,4.641,-2.543,WRONG,TRENDING_UP
56,2023-12-25 16:00:00+00:00,LOW,BULLISH,43434.62,43362.57,43485.12,48.056532198371656,False,43485.12,42242.6,0.588,4.334,-2.857,WRONG,RANGING
59,2023-12-26 04:00:00+00:00,HIGH,BEARISH,43339.64,43497.81,42759.55,32.8285627002565,False,42759.55,42999.22,2.71,1.149,-0.561,WRONG,RANGING
59,2023-12-26 04:00:00+00:00,LOW,BULLISH,42614.17,42569.94,42759.55,32.8285627002565,False,42759.55,42999.22,1.149,2.71,0.561,CORRECT,RANGING
63,2023-12-26 20:00:00+00:00,LOW,BULLISH,42181.68,42036.92,42515.53,32.92077155153912,False,42515.53,43061.23,3.093,0.95,1.284,CORRECT,RANGING
68,2023-12-27 16:00:00+00:00,LOW,BULLISH,43056.87,42861.01,43182.3,49.92140298901714,False,43182.3,42708.15,1.501,2.424,-1.098,WRONG,RANGING
69,2023-12-27 20:00:00+00:00,LOW,BULLISH,43333.88,43138.79,43474.4,47.97260030725107,False,43474.4,42309.15,0.819,3.079,-2.68,WRONG,RANGING
70,2023-12-28 00:00:00+00:00,HIGH,BEARISH,43818.29,43830.34,43448.04,49.48545737122554,False,43448.04,42896.87,3.02,0.482,1.269,CORRECT,RANGING
71,2023-12-28 04:00:00+00:00,HIGH,BEARISH,43250.72,43657.36,43061.23,43.1997755735486,False,43061.23,42296.19,2.149,0.34,1.777,CORRECT,RANGING
73,2023-12-28 12:00:00+00:00,HIGH,BEARISH,42831.0,43148.21,42451.96,45.845298524195506,False,42451.96,42063.45,2.714,1.614,0.915,CORRECT,RANGING
75,2023-12-28 20:00:00+00:00,HIGH,BEARISH,42599.47,42769.67,42581.23,53.11497238342617,False,42581.23,41925.29,3.009,1.305,1.54,CORRECT,TRENDING_DOWN
77,2023-12-29 04:00:00+00:00,LOW,BULLISH,42265.08,42245.79,42309.15,46.91673787939454,False,42309.15,42363.24,1.957,2.385,0.128,CORRECT,TRENDING_DOWN
78,2023-12-29 08:00:00+00:00,LOW,BULLISH,42825.0,42297.66,42896.87,58.9342822887451,False,42896.87,42348.01,0.56,3.723,-1.279,WRONG,RANGING
79,2023-12-29 12:00:00+00:00,HIGH,BEARISH,42791.19,43137.1,42296.19,47.881533290898766,False,42296.19,42141.03,2.355,0.703,0.367,CORRECT,TRENDING_DOWN
81,2023-12-29 20:00:00+00:00,LOW,BULLISH,41600.67,41300.0,42063.45,37.27234891040297,False,42063.45,42515.91,1.412,1.296,1.076,CORRECT,TRENDING_DOWN
85,2023-12-30 12:00:00+00:00,LOW,BULLISH,42135.74,41865.0,42363.24,39.87783620422109,False,42363.24,42288.06,1.149,0.941,-0.177,WRONG,RANGING
89,2023-12-31 04:00:00+00:00,HIGH,BEARISH,42593.73,42657.35,42515.91,48.980712814431065,False,42515.91,42797.33,1.057,0.83,-0.662,WRONG,RANGING
