candle_idx,timestamp,sweep_type,bias,swing_price,close_price,rsi,regime,entry_price,exit_price,mfe_pct,mae_pct,outcome
64,2023-12-27 00:00:00+00:00,LOW,BULLISH,42181.68,42242.6,31.06010527934626,RANGING,42242.6,43079.78,3.7586228120428147,0.07717328005378113,CORRECT
118,2024-01-05 00:00:00+00:00,LOW,BULLISH,42699.43,43511.08,37.53713436467759,HIGH_VOL,43511.08,43705.54,2.142649642343975,0.9116758306160185,CORRECT
303,2024-02-04 20:00:00+00:00,LOW,BULLISH,42527.58,42568.55,30.211367586224057,RANGING,42568.55,42828.9,2.235100796245108,0.7835596937175517,CORRECT
380,2024-02-17 16:00:00+00:00,LOW,BULLISH,51219.5,51411.13,39.09164933418304,RANGING,51411.13,52080.0,2.032361475034687,0.4605033968325536,CORRECT
404,2024-02-21 16:00:00+00:00,LOW,BULLISH,50764.01,51068.48,34.834460577969125,RANGING,51068.48,51082.3,1.9728803363640288,0.41959345568931383,CORRECT
413,2024-02-23 04:00:00+00:00,LOW,BULLISH,50905.65,50912.73,32.080386755565115,RANGING,50912.73,51100.02,0.773716121685084,0.7851081645003147,CORRECT
441,2024-02-27 20:00:00+00:00,HIGH,BEARISH,57250.0,57077.07,87.0485992911352,TRENDING_UP,57077.07,62726.42,0.619495709923436,12.304293125067563,WRONG
536,2024-03-14 16:00:00+00:00,LOW,BULLISH,68603.0,69260.0,32.681625615824785,RANGING,69260.0,69196.99,4.555241120415833,5.333958995090966,WRONG
542,2024-03-15 16:00:00+00:00,LOW,BULLISH,68454.47,68988.49,34.42211873021215,HIGH_VOL,68988.49,66510.1,1.5386769590115608,6.108903093834931,WRONG
569,2024-03-20 04:00:00+00:00,LOW,BULLISH,62312.59,62932.09,27.77110052060692,HIGH_VOL,62932.09,66550.84,8.42570141878333,1.4008592436704337,CORRECT
587,2024-03-23 04:00:00+00:00,LOW,BULLISH,64525.0,64577.2,29.42126703188653,HIGH_VOL,64577.2,65669.03,2.248301258029149,1.225866095154323,CORRECT
606,2024-03-26 08:00:00+00:00,HIGH,BEARISH,71269.92,70700.82,83.16845266824392,TRENDING_UP,70700.82,68591.46,3.2972743456158096,1.5403357415090781,CORRECT
658,2024-04-04 00:00:00+00:00,LOW,BULLISH,65568.44,65631.63,24.865665128652125,TRENDING_DOWN,65631.63,66483.05,5.6917068797468495,0.8497122500233614,CORRECT
659,2024-04-04 04:00:00+00:00,LOW,BULLISH,65977.98,66071.03,28.819588239641746,TRENDING_DOWN,66071.03,68245.63,4.988812797378826,0.1075055133846087,CORRECT
697,2024-04-10 12:00:00+00:00,LOW,BULLISH,68200.0,68654.8,35.113664069847104,RANGING,68654.8,70020.73,3.861434306122802,0.13808211516165353,CORRECT
698,2024-04-10 16:00:00+00:00,LOW,BULLISH,68880.13,70087.49,32.89758844470596,TRENDING_UP,70087.49,70997.91,1.7383558749214663,0.7954201241905012,CORRECT
728,2024-04-15 16:00:00+00:00,LOW,BULLISH,62602.17,63310.19,33.335138390447,HIGH_VOL,63310.19,63860.53,1.721381660677369,2.6300663447701007,CORRECT
783,2024-04-24 20:00:00+00:00,LOW,BULLISH,64250.0,64255.78,33.553383361485714,RANGING,64255.78,64275.99,1.6059411308990468,2.3478043531648023,CORRECT
786,2024-04-25 08:00:00+00:00,LOW,BULLISH,63542.56,63831.97,21.617479517526306,RANGING,63831.97,63716.71,2.2805500127913976,1.699446217937502,WRONG
798,2024-04-27 08:00:00+00:00,LOW,BULLISH,62747.18,62819.93,30.691056369698742,TRENDING_DOWN,62819.93,63705.5,2.4091080649087027,0.18931889927289045,CORRECT
